RABBIT,designinfo
member,designcode,founders
pop1,P1/P2=>DH,NA
pop2,2ril-self3,P1||P3
pop3,ibd=1.0||mapexpansion=5.0,P3||P4||P5
pop4,P4/3/P4//P2/P3=>3,NA
RABBIT,offspringinfo
individual,member,ishomozygous,isfglexch
pop1_1,pop1,true,false
pop1_2,pop1,true,false
pop1_3,pop1,true,false
pop1_4,pop1,true,false
pop1_5,pop1,true,false
pop1_6,pop1,true,false
pop1_7,pop1,true,false
pop1_8,pop1,true,false
pop1_9,pop1,true,false
pop1_10,pop1,true,false
pop1_11,pop1,true,false
pop1_12,pop1,true,false
pop1_13,pop1,true,false
pop1_14,pop1,true,false
pop1_15,pop1,true,false
pop1_16,pop1,true,false
pop1_17,pop1,true,false
pop1_18,pop1,true,false
pop1_19,pop1,true,false
pop1_20,pop1,true,false
pop2_1,pop2,false,false
pop2_2,pop2,false,false
pop2_3,pop2,false,false
pop2_4,pop2,false,false
pop2_5,pop2,false,false
pop2_6,pop2,false,false
pop2_7,pop2,false,false
pop2_8,pop2,false,false
pop2_9,pop2,false,false
pop2_10,pop2,false,false
pop2_11,pop2,false,false
pop2_12,pop2,false,false
pop2_13,pop2,false,false
pop2_14,pop2,false,false
pop2_15,pop2,false,false
pop2_16,pop2,false,false
pop2_17,pop2,false,false
pop2_18,pop2,false,false
pop2_19,pop2,false,false
pop2_20,pop2,false,false
pop3_1,pop3,true,true
pop3_2,pop3,true,true
pop3_3,pop3,true,true
pop3_4,pop3,true,true
pop3_5,pop3,true,true
pop3_6,pop3,true,true
pop3_7,pop3,true,true
pop3_8,pop3,true,true
pop3_9,pop3,true,true
pop3_10,pop3,true,true
pop3_11,pop3,true,true
pop3_12,pop3,true,true
pop3_13,pop3,true,true
pop3_14,pop3,true,true
pop3_15,pop3,true,true
pop3_16,pop3,true,true
pop3_17,pop3,true,true
pop3_18,pop3,true,true
pop3_19,pop3,true,true
pop3_20,pop3,true,true
pop4_1,pop4,false,false
pop4_2,pop4,false,false
pop4_3,pop4,false,false
pop4_4,pop4,false,false
pop4_5,pop4,false,false
pop4_6,pop4,false,false
pop4_7,pop4,false,false
pop4_8,pop4,false,false
pop4_9,pop4,false,false
pop4_10,pop4,false,false
pop4_11,pop4,false,false
pop4_12,pop4,false,false
pop4_13,pop4,false,false
pop4_14,pop4,false,false
pop4_15,pop4,false,false
pop4_16,pop4,false,false
pop4_17,pop4,false,false
pop4_18,pop4,false,false
pop4_19,pop4,false,false
pop4_20,pop4,false,false
