##neg_log10p-thresholds = [2.9547] at [0.05]
##col_1, permute, index of permutation
##col_2, loglike, log likelihood for th peak of scan profile obtained from the permuted phenotypes
##col_3, lod, LOD score for th peak of scan profile obtained from the permuted phenotypes
##col_4, neg_log10p, minus 10-based log of the P-value for the peak of scan profile obtained from the permuted phenotypes
peremute,loglike,lod,neg_log10p
permute1,-218.85199656479418,1.6868389483017399,1.2919725142713125
permute2,-215.56616165340404,3.113858918763538,2.6060340060935814
permute3,-214.89591144237335,3.404944886908657,2.879894381181144
permute4,-214.39655168026508,3.621814076076799,3.084767494126983
permute5,-216.27965949413723,2.8039907436832254,2.3161515214317165
permute6,-216.53044167795832,2.69507742509008,2.2147270199986737
permute7,-217.03431734951147,2.4762470013692535,2.011778737964474
permute8,-219.79611837843916,1.2768120543912334,0.9295929237932339
permute9,-219.1038779344748,1.5774482593552084,1.1942900055776342
permute10,-216.3604296494249,2.768912710939323,2.283457157753561
permute11,-218.64273964924556,1.777718072024601,1.3735894956432007
permute12,-217.69122014225974,2.1909577433318446,1.7491271606731278
permute13,-219.6847791410255,1.3251660708192894,0.97174152685518
permute14,-216.94671875955345,2.514290585610527,2.0469757866852225
permute15,-216.44199459659674,2.733489504465862,2.250468116417612
permute16,-217.80226437911043,2.142731844020433,1.7049749413432134
permute17,-217.91730371289958,2.092770896153976,1.6593172816275878
permute18,-216.83540765940714,2.562632382178662,2.091753941849594
permute19,-218.39427465503155,1.8856250479578662,1.4709949078040532
permute20,-215.35253522267735,3.2066356988168274,2.6931699582126263
permute21,-220.0160246947895,1.181307954664607,0.8469048641124239
permute22,-217.64615234672385,2.210530438244636,1.7670683077795624
permute23,-217.46179161181595,2.290597288094752,1.8405868890906663
permute24,-211.52702752873807,4.868032580773087,4.272576360745002
permute25,-220.24150242591406,1.0833842202451471,0.7629793769562823
permute26,-212.42382756646603,4.478557273017207,3.8997217165403772
permute27,-216.50480291449014,2.7062121985871332,2.225084125501287
permute28,-216.13800097566912,2.8655122565685196,2.3735550251385917
permute29,-215.34190699701003,3.2112514785765662,2.6975089099613396
permute30,-216.4929700979565,2.7113511255130733,2.2298650865822487
permute31,-217.1038455371467,2.4460512931425398,1.9838694556581318
permute32,-216.03434035499612,2.9105314921174683,2.4156098924899045
permute33,-217.01204819913278,2.4859183704953924,2.02072289200579
permute34,-218.28355461088154,1.9337101521683018,1.514561054821489
permute35,-215.14221705299565,3.297975719353581,2.7790968245795264
permute36,-216.3707460707434,2.7644323460877125,2.2792831549909747
permute37,-215.8280860823213,3.0001065846090955,2.499405202548869
permute38,-218.33375849376506,1.9119068828618708,1.4947950312614817
permute39,-216.3946388992975,2.754055822489608,2.2696178417508293
permute40,-213.49214934066072,4.014591021587363,3.457380177468126
permute41,-216.68431970729864,2.6282490460614327,2.152625915739242
permute42,-218.46600063183604,1.854474852022557,1.4428238095787818
permute43,-217.6353015764689,2.2152428678907534,1.7713897593323675
permute44,-218.95972553896257,1.6400528492793078,1.2501157342799234
permute45,-217.31409428080372,2.354741423945218,1.8996251126070316
permute46,-215.37385263144517,3.1973776658204835,2.684468240958109
permute47,-216.96989640008655,2.504224664223462,2.037659375271416
permute48,-212.7732627341342,4.326799507915987,3.7548021189031795
permute49,-218.5618399427392,1.812852368147905,1.4052476909768514
permute50,-216.17613105511265,2.8489525734716605,2.3580960722584456
permute51,-218.78785413330797,1.7146956523520556,1.3169473178308209
permute52,-216.63433096242682,2.6499588821165485,2.172788652721594
